ID, Text, Created_at, Link
738050677897732096,'Hamilton's' Lin-Manuel Miranda on 2016: 'It's no more bizarre' than election of 1800
https://t.co/fT2XweaWB1 https://t.co/ApI8HFhftv,2016-06-01 16:52:48 +0000, http://money.cnn.com/2016/06/01/media/hamilton-lin-manuel-miranda-rolling-stone-election/index.html?sr=twCNN060116hamilton-lin-manuel-miranda-rolling-stone-election0452PMStoryLink&linkId=25078279
738048967196483584,Jeff Bezos is almost richer than Warren Buffett https://t.co/ZLL1kdsKT0 https://t.co/h5h5mcFqbz,2016-06-01 16:46:00 +0000, http://money.cnn.com/2016/06/01/investing/amazon-all-time-high-jeff-bezos-warren-buffett/index.html?sr=twCNN060116amazon-all-time-high-jeff-bezos-warren-buffett0446PMVODtopLink&linkId=25077597
738046701425033225,NYC officials are investigating the use of Trump Tower for campaign events https://t.co/fBuwO13GpD https://t.co/tCYYULfED9,2016-06-01 16:37:00 +0000, http://www.cnn.com/2016/06/01/politics/buildings-department-investigating-trump-tower/index.html?sr=twCNN060116buildings-department-investigating-trump-tower0437PMStoryPhoto&linkId=25077221
738044188785319936,For the NBA, and ESPN, LeBron James remains the gift that keeps on giving https://t.co/DgRWHfX3kN https://t.co/oPlwTd7Nef,2016-06-01 16:27:01 +0000, http://money.cnn.com/2016/06/01/media/lebron-james-nba-finals/index.html?sr=twCNN060116lebron-james-nba-finals0427PMVODtopPhoto&linkId=25076956
738041923953405952,U.S. Treasury cracks down on North Korea's money laundering https://t.co/a70lz0fYNQ https://t.co/8oSCMt6Xid,2016-06-01 16:18:01 +0000, http://money.cnn.com/2016/06/01/news/north-korea-money-laundering/index.html?sr=twCNN060116north-korea-money-laundering0418PMVODtopPhoto&linkId=25076675
738038399009951744,An Egyptian teenager has died during illegal genital mutilation surgery, official says https://t.co/ofVLjl0jBD https://t.co/8zPzYkI7jT,2016-06-01 16:04:01 +0000, http://www.cnn.com/2016/06/01/health/genital-mutilation-abdelaziz/index.html?sr=twCNN060116genital-mutilation-abdelaziz0404PMVODtopLink&linkId=25075519
738036010542567425,Why are we so quick to blame the parents in the incident at the Cincinnati Zoo? https://t.co/9gPbGMBGUn https://t.co/BSwLxSDz9T,2016-06-01 15:54:31 +0000, http://www.cnn.com/2016/06/01/health/gorilla-tragedy-parenting-blame/index.html?sr=twCNN060116gorilla-tragedy-parenting-blame/0354PMStoryLink&linkId=25075371
738032360327909377,Gunmen attack Mogadishu hotel, Somali officials say https://t.co/aD0MJTbLGV https://t.co/eqnkEcnz0j,2016-06-01 15:40:01 +0000, http://www.cnn.com/2016/06/01/africa/somalia-mogadishu-ambassador-hotel-siege/index.html?sr=twCNN060116somalia-mogadishu-ambassador-hotel-siege/0340PMStoryLink&linkId=25074619
738030468185133056,Memorial Day through Labor Day is the deadliest time for teen drivers https://t.co/aCsfFLX2rT https://t.co/UyliGjt5Uq,2016-06-01 15:32:30 +0000, http://www.cnn.com/2016/06/01/health/100-deadliest-days-teen-drivers/index.html?sr=twCNN060116100-deadliest-days-teen-drivers0332PMStoryLink&linkId=25074139
